Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[1.625, 2.875]",4147025,975152968871.0,F99Q10402439,2011-09-01,235145.18694027647,34.464329730348865,0.004783670221423792,44.20265866126898,35614.0,2029-03-01,1.0097367217259978,0.9567764843472127,0.00922685539633834,32.562329845850535,273181.9593564061,66.69797619532042,2.7279479888809854,0.00013551883579192314,0.05927743382304182,0.0026353831963877718,0.270563596795293,537.5134936490617,-2.696548747355031,1.2123332050193847,-272.3288937158027,120.7431181069253
"[2.875, 3.25]",4259873,975153374880.0,F99Q10402439,2016-09-01,228916.06742266729,37.42082921251408,0.006107224323354241,48.885011862451606,35614.0,2029-03-01,1.0172213073093777,0.9390657890505186,0.026827560352151343,33.699796495439244,262678.7437090261,71.29775584287829,3.039175753043766,1.7371409898839707e-05,0.06826964090244005,0.0035672424976049754,0.2581846923605469,533.1482926838429,-2.170494061207928,1.2026117325175203,-232.80577640415353,119.77097916538054
"[3.25, 3.625]",4780219,975153218032.0,F99Q10375732,2010-05-01,203997.6030453835,44.160054173250224,0.008052978325888416,47.6036513178953,12060.0,2029-03-01,1.0208831271637762,0.918407294728547,0.04271080467233823,33.70517687353608,236529.09333233477,72.36334400078694,3.4328485924521344,1.0459771822169654e-06,0.06639904991800585,0.004578869712872987,0.24196171765352173,524.2662813147264,-1.380431617568149,1.2510217404095905,-145.38664222503303,124.61168537581386
"[3.625, 3.99]",5006720,975153229088.0,F99Q10515300,2019-07-01,194768.87644765436,46.365135457944525,0.010304750415441646,48.66735722970893,16984.0,2029-02-01,1.0274672592187757,0.9047717867186501,0.05760737568707657,34.16077096031866,224645.07881407387,74.17717993116486,3.794186578561177,1.9373961395883932e-05,0.07260402019685543,0.003998625846861818,0.2367098619455452,531.9364124616516,-0.70627273813994,1.259642466523718,-68.12461052903106,125.47318632178201
"[3.99, 4.375]",5366272,975152938266.0,F99Q10402439,2017-09-01,181718.88012124618,46.865395194280126,0.012372089972330885,50.7032946266761,35614.0,2029-03-01,1.0338373982133675,0.8886005032916706,0.07205244162055148,34.61715338671634,208428.66910212528,76.54777545802727,4.184962144361803,0.00011162311563782082,0.07556568135197023,0.004531451257036542,0.22068896246779887,525.6056951641661,-0.2281174513703368,1.2343525063734098,-19.57545309530404,122.94410557496353
"[4.375, 4.75]",5906667,975153432551.0,F99Q10375732,2015-02-01,165093.68693901316,48.952537361594956,0.013251635821013779,50.40036624128446,12060.0,2029-03-01,1.037491498022597,0.8799077381541909,0.08215343780172472,34.383555798795165,191264.52176836785,75.71010647940878,4.580572791534197,0.00010124152927530874,0.0724489801101027,0.004775789798205993,0.18730004586342855,520.0936954800397,0.10885420415608328,1.1895590687771038,14.611053779955634,118.46489572827944
"[4.75, 5.25]",6649998,975153169653.0,F99Q10375732,2016-02-01,146639.61848605066,51.30671392683126,0.013345417547494,52.3303532357142,12060.0,2029-03-01,1.0318638342255952,0.8986832777994821,0.06609084694461562,33.7101488110482,173164.07493656388,71.80716033507393,5.011347992497836,0.0009231581723783977,0.0648415232606085,0.0046708284724296155,0.14846154840948825,510.6436180883062,0.15656131061994305,1.1273929027200635,14.744998594980228,112.24802476003649
"[5.25, 5.75]",7003732,975153017546.0,F99Q10004667,1999-03-01,139233.3426730206,54.15447207288914,0.012975939113604004,50.428888752546506,37964.0,2014-02-01,1.031900926490324,0.9101850270684259,0.05220602387412882,34.19355909093485,161957.59517925585,71.2485294025469,5.531412171872821,0.0023543162416837194,0.06686549399662922,0.0061203084298485436,0.12375030912090867,508.10209250054044,0.3104572602149825,1.095749539724141,19.67990397579396,109.08311091494025
"[5.75, 6.375]",7047114,975153419356.0,F99Q10000933,2000-12-01,138376.27990067992,51.3106241789192,0.015156984830953494,53.97315523415541,48864.0,2014-02-01,1.0369597099485244,0.9027899931801869,0.05495753297023434,35.341866531507435,155771.44814174995,72.13839140797587,6.044659523701094,0.0024583113030383786,0.07540774847689423,0.011814197982322977,0.1189542272198236,502.1019988508747,0.6282829223423945,1.0598468933860732,46.84613935851336,105.49536443037755
"[6.375, 99.999]",7191920,975153229005.0,F99Q10000021,2002-07-01,135590.11070826705,42.33733801265865,0.020023999154606835,65.59248332182538,35004.0,2029-02-01,1.0443860232630444,0.8626683834080469,0.09736245675702733,36.282754099570845,148354.22821722153,75.55557071018993,6.9014129817104,0.003914392818607548,0.07861099678528126,0.016682054305387158,0.11542703478347924,506.5325806900196,1.0589227968331125,1.0577569513062541,82.31998714095054,105.29171266638912
