Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 6]",5735954,1217648050316.0,F99Q10000021,2002-07-01,212283.44061266878,0.004175940044149587,4.939885443118965,69.24560291651412,35004.0,2029-02-01,1.027004140401236,0.909192437735728,0.055063028748138496,34.60281155162818,215173.73779496836,72.77038110099897,4.722361794822578,0.0004163213303314497,0.07219949811312992,0.005533342840615528,0.20202742211670457,532.93349318559,-0.04926924858532687,1.0140161636630234,-5.82253293134751,100.981589156525
"[6, 12]",5735954,1164129609591.0,F99Q10000021,2003-02-01,202953.09369478904,0.011401939415832136,4.913138707004972,65.81019252608942,35004.0,2029-02-01,1.0276467558696594,0.9082272974992477,0.055462264864746126,34.593809529414486,210697.4639266633,72.79678979282113,4.699774847151206,0.0005428913830201567,0.07222024444408028,0.00575056912938981,0.1976424497128115,529.4650879176535,-0.12245802956230124,1.0473054269609006,-18.833675184955542,104.23027983131036
"[12, 19]",5735954,1141494455603.0,F99Q10000021,2003-08-01,199006.90549523235,0.01431880381188552,4.793290102744897,61.31573958136458,35004.0,2029-02-01,1.0280037129066746,0.9062586624648663,0.057184907689287606,34.49057917162082,210531.96573752162,72.98517237592822,4.56825153264215,0.0005700882538458293,0.07236738648880378,0.005654682725837759,0.2002275471525748,527.3868053444058,-0.2738926054846325,1.083586225615067,-44.055861047530286,107.85872550673335
"[19, 26]",5735954,1118933116889.0,F99Q10000021,2004-03-01,195073.58617049578,0.013666078912069378,4.674786907461252,57.87676852145879,35004.0,2029-02-01,1.0287468525821117,0.9035213671518286,0.05894503338067216,34.46921638870963,210058.3557678461,72.96298604843992,4.44654518839762,0.0006131499659864776,0.0727779546349221,0.0058780108766562636,0.20043256971726064,525.5420637963321,-0.5219642103998741,1.1144829369892084,-81.49105375354844,110.94854432501464
"[26, 35]",5735954,1069542958742.0,F99Q10000133,2001-06-01,186462.95956034516,0.0128717908128273,4.657452559242978,54.8313989029991,35004.0,2029-03-01,1.0292684040958644,0.9030818587457291,0.059159121568966556,34.3331274049535,205303.2344750324,72.84412234693738,4.417282732038679,0.0008206132754900057,0.0716276664701286,0.006071352734000308,0.19407111702778648,522.9447497360468,-0.6290213502409541,1.146196985611208,-96.69268672928892,114.119219003131
"[35, 45]",5735954,1047101721562.0,F99Q10000933,2002-02-01,182550.57860680195,0.011908045287671414,4.508611061560117,50.92696826376909,48864.0,2014-02-01,1.02978792624231,0.9027708381203894,0.05921787378350663,34.19671686170565,206662.75078217156,72.60628551181175,4.2421891678145816,0.0009412558050500405,0.07091828142275897,0.006149107890335243,0.1941863550509645,522.0685141503267,-0.8372140194115922,1.1887039500955763,-123.2495648228829,118.37078628096307
"[45, 57]",5735954,991530999433.0,F99Q10000933,2002-12-01,172862.43917454706,0.011676697546737648,4.439293192902174,46.70522495396803,48864.0,2014-02-01,1.030188256863971,0.9028806716371853,0.058587812942711884,33.93089362004778,203128.44088359145,72.3069211942582,4.155083277459976,0.0012163626137866516,0.0699201911312399,0.00626085913520227,0.18943143546827607,519.8763520709745,-0.8138061075803606,1.2351753292541638,-121.98891760961152,123.01773282520472
"[57, 75]",5735954,836645232328.0,F99Q10000933,2003-12-01,145859.822503458,0.01295913460951744,4.724938960981905,42.82494413930963,48864.0,2014-02-01,1.032484164495029,0.8986088451894837,0.06164414847120461,33.759999698753695,181066.66894469515,72.59224188793154,4.528309849474022,0.0017791286331794154,0.06838548565766044,0.007097162913091702,0.16626161925287405,509.9629408347652,-0.18543435677831435,1.276389977769246,-42.25644542106096,127.13873540991086
"[75, 105]",5735954,678193261119.0,F99Q10000933,2005-06-01,118235.47767625054,0.01529039458824112,4.877596003733642,36.4749380191804,48864.0,2014-02-01,1.035678276750339,0.8949770169007631,0.06502231363780114,33.67913808695733,163596.2166014581,72.7343326907787,4.765075378099883,0.0023445097363054166,0.0673772837090395,0.008420569621025551,0.14470530970087975,500.2543707255315,0.3496004622770685,1.3463964981487544,20.900428626417522,134.13922172313127
"[105, 325]",5735954,486312591665.0,F99Q10000933,2007-12-01,84783.20984878889,0.01569625558363962,5.104691591145953,26.489060678289718,48864.0,2014-02-01,1.039616810155678,0.8962224941134466,0.06415672092209944,33.856559870960716,147427.6528368254,72.93140904321281,4.948055573124297,0.0029662023091538044,0.06780232198514842,0.012521892609320089,0.12006686246089142,487.06077820707765,0.31391617898260693,1.6154826142114482,-2.078180526241012,161.04816835301713
