Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[1.625, 2.875]",4115723,975152825868.0,F11Q10331762,2012-06-01,236933.54141374433,34.52201107800501,0.004747161069877637,2.646832810176972,44.320116634531026,35614.0,2026-02-01,1.0088636650234384,0.9559841612275656,0.009368706300205334,32.325277149262185,275343.2344693751,66.5405611214158,0.0,0.05963423680359441,0.002380626684546069,0.2753081293371784,538.4981513576108,-2.71396634200115,1.2161016306200736,-273.58308723041426,121.12011375306095
"[2.875, 3.25]",4289286,975153258289.0,F10Q40015414,2010-12-01,227346.28986945612,37.38373589450552,0.00630920857224256,3.0512155372712386,48.68809184688921,13140.0,2025-12-01,1.0166930981437037,0.9391143421072878,0.026352637711731044,33.60503311409112,261536.55969781452,71.1504695573888,0.0,0.06794907124402523,0.003505944812260129,0.2590652616775846,532.8928208564316,-2.1422601286088176,1.2036719470149013,-229.55363613525864,119.87724559976549
"[3.25, 3.625]",4820194,975153297643.0,F02Q41190721,2013-03-01,202305.81956722075,44.68656240806905,0.008017727087332999,3.4494009641520655,47.311348899983244,40380.0,2017-11-01,1.0209964436437238,0.9168989878830603,0.044101959381717834,33.68475428382815,234963.6464839382,72.36066207990999,0.0,0.06626019616637836,0.004602511849108148,0.24187408224648219,525.1758611790314,-1.3441375237179252,1.251603229657274,-142.10209531299196,124.66970992269985
"[3.625, 3.99]",4948366,975153379571.0,F03Q21334666,2010-12-01,197065.73433957796,45.61334650670545,0.01047234582082247,3.802990527580216,49.47252371394525,12054.0,2033-06-01,1.0280406112792222,0.9034899601201689,0.05855892632032473,34.270270460594226,226277.46068096015,74.43886997786366,0.0,0.07421116384681327,0.003965955630606144,0.23759742104767514,532.6161631940726,-0.7134521397568409,1.2576354873189755,-69.21725248642137,125.2727179786507
"[3.99, 4.375]",5450742,975153144473.0,F01Q41029618,2009-01-01,178902.82542688685,47.9971427743232,0.01220677845328214,4.169232193708673,49.456951797058956,28140.0,2031-11-01,1.0331694272228245,0.8888866873537584,0.07163043123303213,34.309235758385235,206167.09559909458,76.57321377070073,0.0,0.07449462843774297,0.004328951911501223,0.21966073609794776,525.5705351675057,-0.18153762762941267,1.2354570123042021,-14.85467816250484,123.05447360174048
"[4.375, 4.75]",5863754,975153208957.0,F99Q10648494,2003-10-01,166301.8620762399,47.3303475896158,0.013572363369950376,4.591296615785724,52.08803095644321,31140.0,2014-04-01,1.0409284652819006,0.8680052062211341,0.09418693212573379,34.56107685142873,191650.5151819125,75.78223283869511,7.725426407724472e-05,0.07398417464306996,0.004935234322585838,0.1908233189864377,522.0413025512325,0.10271727147830555,1.1844229800390513,13.708464246752495,117.95172719030649
"[4.75, 5.375]",6685104,975153270290.0,F99Q10364636,1999-02-01,145869.57365061186,51.70830939952467,0.01313292956998126,5.038708056299498,51.385535063149156,35084.0,2014-02-01,1.0305327148197196,0.900954121282182,0.06377881331389908,33.55895357662966,172531.37273556253,71.88838007453097,0.0009893638154320412,0.06481454888360749,0.004453184273573007,0.14533177045562792,510.0860703139398,0.16944983952381293,1.1226870445163424,14.84548308682676,111.77734021298987
"[5.375, 5.875]",7091056,975153210462.0,F99Q10004667,1999-03-01,137518.7574970498,54.34959475711375,0.013050524491697711,5.548374363846513,50.046126183987056,17900.0,2014-02-01,1.0310547723925862,0.9162100821090681,0.0468185556565905,34.146817624322104,160556.2691931921,70.73929687141573,0.0024796024738769516,0.06502529383493798,0.005852583874672545,0.12012724197919182,507.28433104376506,0.2848916615522427,1.0961911045749146,15.948515913955497,109.12726540690689
"[5.875, 6.375]",6933944,975153033964.0,F99Q10000933,2000-12-01,140634.68553596624,51.24999524080379,0.015114197634131455,6.020313072473617,53.48325234691827,48864.0,2014-02-01,1.036608602550006,0.9054949102559813,0.051331392350442984,35.73943557246769,157653.75116960853,72.2782927995808,0.002365032079866812,0.07739029908519596,0.012567595007978143,0.1199564057627232,501.00946014878434,0.6301797163345998,1.055978539827792,46.64589227336009,105.1080360028269
"[6.375, 13.5]",7161371,975153367731.0,F99Q10000021,2002-07-01,136168.53082056495,42.397344028119754,0.01993068087102316,6.895021688305215,65.83020953633213,35004.0,2029-02-01,1.0449792055534153,0.8636238787237807,0.09757028367892126,36.416843138794796,148866.70122243353,75.79181197065905,0.004048107548121721,0.07720309421198818,0.016773603825301048,0.1144102155858145,505.73887735734303,1.0258867593928591,1.066518002912474,78.1430643677185,106.16755057885631
