Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_price_delta (Weighted Average)
"[-599, -392]",1983134,487576426098.0,F99Q30301453,2023-11-01,245861.563614965,41.28479669049091,0.0035842257759687445,2.691337781511487,43.06876183521501,28140.0,2029-10-01,1.0124298206777758,0.9524353876238317,0.015111938981430402,33.09388123841714,288775.1422748034,67.74309791605506,2.7057372657625813,0.0,0.06494719973536836,0.0026221122727964927,0.28218315050823595,544.1331306911183,-4.255221492092818,1.2480850333067697,124.30859389720732
"[-392, -347]",1999647,487576566039.0,F99Q30301453,2023-09-01,243831.31924734716,46.86781016849474,0.004244749198233489,2.993020048038479,45.84541348417543,28140.0,2029-10-01,1.018872368717816,0.9375359750996051,0.02821397976742895,33.96468292140184,283815.8730015848,71.3928657750805,2.9842460849075065,2.0003530623154987e-06,0.07167165004623316,0.0037046538714083036,0.27252059988587984,538.8060637702555,-3.698720729208705,1.2588096739878003,125.3817223565193
"[-347, -298]",2190881,487576641055.0,F99Q10037417,2000-06-01,222548.20825731748,57.948602411541295,0.004792136131537952,3.2999268449541534,44.77587878060716,47894.0,2014-02-01,1.0278338567966783,0.9124292921432063,0.05157149110335066,34.599171724679834,264014.42342144554,72.95841379198122,3.260280212731661,7.302998200267381e-06,0.07591055835529177,0.005021724137458858,0.2573718061364355,531.5249134937042,-3.251154707626749,1.312407831292836,130.74105604188335
"[-298, -222]",2503518,487576739162.0,F99Q10004667,2000-02-01,194756.6341292533,69.74346419718172,0.005822606428234189,3.7102648676782035,42.08752878383877,37964.0,2014-02-01,1.039056305391348,0.8871008716534093,0.0761756056876763,35.137766620571156,235077.7050534488,73.96631965081475,3.673966706885155,8.66780266808547e-05,0.07951530606131052,0.006235625228178907,0.23530807447759514,522.4171302143624,-2.6240791943577,1.4022409315303783,139.72476097573758
"[-222, -134]",2892586,487576540337.0,F99Q10000133,2000-06-01,168560.7758376069,56.442621239264795,0.0062342139524978685,4.235618280320792,44.08674608843007,35004.0,2029-03-01,1.035297729410695,0.9001713345774335,0.06786280511625238,34.545858452984255,200363.6700862135,71.80514955458658,4.272738285861471,0.0004981701494787018,0.06646371101844509,0.005866377006595483,0.18792250256345014,509.7384437156838,-1.7347280613264395,1.313712667836225,130.8723420102719
"[-134, -91]",3040786,487576546527.0,F99Q10000133,2000-02-01,160345.56411631728,38.073370174685095,0.006107631382149221,4.504401880303317,48.76395840623146,35004.0,2029-03-01,1.0207387738013762,0.9350381776290735,0.03258236521741418,32.840759545782795,184529.17535137298,68.63028787263248,4.42745665715829,0.0009385731189238571,0.055049911437371785,0.004256136406836916,0.1686182454141791,511.4998174811611,-1.105157118422671,1.1971708014204192,119.22170044675849
"[-91, -65]",2916804,487576664385.0,F99Q10000133,1999-09-01,167161.27116700335,32.87524118864346,0.006287361097968873,4.605223853916821,51.70073333386981,35004.0,2029-03-01,1.0200497076955728,0.9344621716097482,0.03107579391690357,32.98056111028739,187303.25520672626,69.38767045349343,4.508314789234601,0.0009866963978381817,0.05766071357554364,0.004354423540285875,0.17183499474081906,515.3498346474456,-0.7783466588773191,1.168038739542719,116.31364517329166
"[-65, -45]",2851802,487576667598.0,F99Q10000133,1999-08-01,170971.4305544354,30.38148861667114,0.006487126385352138,4.684928145782912,53.073139840526295,35004.0,2029-03-01,1.020352799627724,0.9321085404947468,0.03205131352036362,33.12623435978869,188921.82591919074,70.03660965963824,4.558714409778419,0.001145942109585448,0.059653159651336246,0.0047082511338444955,0.17328026279524314,516.3312332495614,-0.5507856418503108,1.147783154094512,114.29095827562644
"[-45, -29]",2745366,487576353564.0,F99Q10000133,1999-07-01,177599.76395278444,29.06174622982874,0.006980125782864653,4.708733294941366,55.348557531717894,35004.0,2029-03-01,1.021183264084838,0.9287621395471496,0.03513557026640528,33.41470834521008,194872.73172320193,70.99818233536755,4.563010799409018,0.0009645344190902051,0.06242810612501211,0.004944695898470368,0.18061562647748972,519.2489244560358,-0.373106989559862,1.1357263123453467,113.08923261445099
"[-29, -14]",2709386,487576791220.0,F99Q10000133,2001-01-01,179958.40800092716,28.895038211609567,0.0072724964253893685,4.76182183048115,56.553210415944726,35004.0,2029-03-01,1.0226935998600337,0.9245054045455318,0.03909963364393261,33.61702093252293,196828.40724798903,71.77234217702748,4.602677331574536,0.000955197967362347,0.0644278814462022,0.0051376954040509544,0.18352829755523944,521.602164567035,-0.21976653345075234,1.1279504365281643,112.31541243370546
"[-14, 0]",2675476,487576555714.0,F99Q10000021,2002-07-01,182239.18125746597,29.07844585412091,0.008297588915019234,4.733925245451651,56.58250140200518,35004.0,2029-02-01,1.023787915260598,0.9207983925103421,0.042470199695306556,33.70973836383148,199660.35875485334,72.32118453031632,4.553933492667649,0.0009067545363890388,0.06623195274410984,0.005194589673015194,0.18657203428474037,523.1463120451004,-0.07860744985191422,1.1229356037956357,111.8193709866771
"[0, 12]",2731924,487576684563.0,F99Q10000133,1999-04-01,178473.7366643435,29.724967824873605,0.00909725160729215,4.854262868952431,57.18571098450523,35004.0,2029-03-01,1.0254339911074928,0.9159427568263246,0.04709171997464058,33.90522149582433,195746.9164588766,73.10108663291622,4.693222725862814,0.0009286495524765696,0.06740011801206769,0.005511866362314618,0.1815771595403093,521.84956839657,0.05965952328834915,1.1174523798353408,111.27399143651779
