Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average)
"[35, 88]",3229936,487576343972.0,F99Q10216566,2011-11-01,150955.41954143983,57.9950206443719,0.018619563978976673,5.828737713688445,57.81095173520255,12060.0,2014-04-01,1.036248874198471,0.8794344531904038,0.06410529496559685,36.681208177452106,174171.22599333237,70.3917873387134,5.833284455695851,0.0032403118823407027,0.09512758147529858,0.01401668639873979,0.1328664097369112,544.9270654279218,1.3530772089601777,0.7770304357098345,124.90566877482752
"[88, 95]",2995417,487576637884.0,F99Q10174200,2009-11-01,162774.21069720844,43.11030651158086,0.015822838689905278,5.376031346219909,60.85994823885873,12060.0,2014-03-01,1.0302617851735747,0.9036324491715176,0.05313550667569824,35.11208131049354,182785.29333311523,70.8933874581044,5.332154170125057,0.0013964666689145451,0.07387886227526919,0.008125412922474567,0.14246163388937166,499.82427989158106,0.7596676229052584,0.9284681101420843,53.567129564984995
"[95, 99]",2712098,487576727087.0,F99Q10083143,2001-08-01,179778.4324486062,33.02443532645207,0.012003622287985169,5.267837064884824,66.25709737865446,19124.0,2029-03-01,1.028157884742383,0.9109368466773693,0.05177836494108989,35.12694574392987,196475.23725175124,71.75257229248395,5.238413790317232,0.0010722326405609238,0.06514882574302255,0.007820882578726875,0.1680171586719949,514.5308805212791,0.2942803525167601,0.976515949998187,1.5758787230381868
"[99, 100]",2754294,487576631788.0,F99Q10000021,2002-07-01,177024.17816979595,14.617417022293191,0.006884522857763187,5.360588898280285,68.2897287339136,35004.0,2029-02-01,1.0255673266884549,0.9145708482827178,0.04929902181829536,34.35940126391195,184976.80676064355,72.36882363236221,5.280071772460149,0.0007417508806249442,0.06111874767181717,0.006433953673790816,0.1600965619501767,505.82228498104286,0.08739045268950953,0.9998431312844366,-1.4682460577484528
"[100, 101]",2346664,487576581672.0,F99Q10000021,2002-11-01,207774.34761516773,13.325172244513913,0.006854411198194544,5.037597533775606,70.80687777416776,35004.0,2029-02-01,1.0281142793827482,0.9103795856586201,0.056944666982576116,35.166274936014,215687.31186058166,74.13289099222328,4.894280843489948,0.0007542622207525236,0.07162422911844218,0.006744467891440785,0.19977593724538323,515.1830653941955,0.047160915239676394,1.007042882162041,-4.745867033664559
"[101, 102]",2455297,487576249439.0,F99Q10000021,2003-01-01,198581.37302289702,16.07967467886777,0.009013166227955314,4.774942578026201,69.0403821515003,27500.0,2029-02-01,1.0292266467252447,0.9049463262489222,0.060911164718565614,34.722762551681264,208687.2138075353,74.33757857626841,4.609795520416992,0.0007005262499811632,0.07219900484544232,0.005820477115395815,0.19978642095029644,503.56713552304944,0.01863233572150333,1.0201449668295752,-7.3670110260495525
"[102, 104]",2705509,487576870298.0,F99Q10000021,2003-05-01,180216.31800079023,24.133094364128894,0.011715355594825226,5.184946722040104,66.08464963058461,35004.0,2029-02-01,1.0286568135152168,0.9147942217157659,0.052856227792995696,34.70106172539326,193663.6144991571,73.32285423552422,4.952337913109148,0.0011979261573330563,0.06670500818884727,0.007163531889932726,0.1681546799511663,505.42276757530374,-0.08507591307217972,1.0350772189248938,-29.77923984352003
"[104, 106]",2552584,487576750722.0,F99Q10000133,1999-08-01,191013.00906140602,22.7009124871111,0.011826055479467081,4.753191494187851,64.77173262506588,35004.0,2029-03-01,1.0295282392755476,0.9075540706985549,0.05943820066254431,34.48786337417151,204949.22674435005,73.9767239576865,4.481488853753915,0.0008873361268424467,0.06985392057616908,0.0056856111297414694,0.19048266384181675,502.10344157525714,-0.18374719284458416,1.0513588307073896,-38.29539913301797
"[106, 108]",2685073,487576469171.0,F99Q10000133,2000-04-01,181587.78892454694,29.736813859436968,0.011474920793587362,4.69730663263159,62.18277874471134,35004.0,2029-03-01,1.0285509546904714,0.9105219858082071,0.05578321334280297,34.242412112829314,198464.09352743856,73.3132787688848,4.41199307320302,0.001142613254835157,0.06869347686264024,0.0061733889544157644,0.17982714064012412,502.3434237832539,-0.25021238808032414,1.0702044243580833,-49.86366136072148
"[108, 110]",2854552,487576672099.0,F99Q10000133,2000-06-01,170806.7227708586,34.604563167880634,0.013357612683181109,4.8114487604359635,60.07126700819545,35004.0,2029-03-01,1.0288318675901964,0.913393415148857,0.05356742494093644,33.88022532531122,189830.43573912824,72.7337795560785,4.45316789287171,0.001451015781110311,0.06550730202147308,0.006218488925757877,0.16839069668375284,503.3903687300598,-0.2412431330730707,1.0908965699012703,-55.62818806834099
