id,region,amount,score,policy_weight
1,West,370.13,58.4,9.02
2,South,645.24,65.0,9.04
3,Central,247.57,8.4,5.67
4,East,,41.6,3.84
5,North,524.41,4.2,7.95
6,Mountain,587.93,49.4,6.95
7,West,606.68,33.0,4.36
8,,619.0,14.5,1.85
9,North,447.69,10.3,7.72
10,South,430.65,58.8,3.36
11,South,628.7,17.1,9.43
12,Coastal,471.3,92.5,3.17
13,East,308.65,58.1,2.1
14,Central,330.01,34.7,8.48
15,South,362.08,59.1,2.38
16,North,574.57,2.3,2.61
17,East,521.36,95.9,6.39
18,North,603.57,48.2,8.87
19,Central,435.91,78.3,2.77
20,East,523.78,8.3,3.79
21,West,593.84,48.7,8.0
22,South,453.6,49.1,9.75
23,Mountain,568.52,93.8,5.51
24,Coastal,400.71,57.2,2.3
25,West,445.54,47.3,1.13
26,North,442.74,26.7,3.07
27,South,320.62,33.2,2.19
28,North,573.05,52.1,7.1
29,North,429.59,43.9,2.1
30,East,501.87,2.2,5.56
31,West,572.11,82.6,7.25
32,Mountain,566.98,89.6,6.23
33,South,599.81,14.0,2.8
34,South,485.23,55.4,8.24
35,South,436.51,10.9,7.44
36,North,488.04,67.2,7.65
37,North,246.9,28.1,2.18
38,South,282.93,65.9,2.11
39,North,301.6,72.7,9.35
40,East,350.41,76.9,4.58
41,South,559.97,10.8,3.71
42,Central,364.18,91.6,5.4
43,West,443.28,23.0,6.97
44,South,694.88,3.7,9.6
45,Central,446.56,55.5,3.58
46,Central,610.63,37.1,9.32
47,South,359.96,83.0,1.22
48,North,469.18,80.8,6.0
49,East,357.5,31.7,6.71
50,North,449.15,95.3,1.95
51,North,626.05,29.1,2.26
52,North,240.9,51.5,4.77
53,West,565.16,25.6,9.7
54,East,535.66,93.6,6.36
55,West,410.88,16.5,9.4
56,West,283.09,4.5,8.24
57,South,510.82,43.5,5.21
58,East,420.58,99.2,8.06
59,North,534.9,89.2,1.16
60,North,503.28,74.9,1.98
